Group,Functions
Unique set,"setProxySync, closeTrove, setEnableNextEpoch, setReferrer, hasAsset, setAuctionInProgress, set_rate, setup, setIndex, _setReserveFactor, setWhitelist, setRouter, setAuthorization, setMerkleRoot, setBNB, setIRouter, setRegistry, reset, setIsRebalancing, setCollectRate, settleExpiredPositions, setVictim, setOracleData"
Unique approve,"approveTrove, approveDelegation"
Unique stake,"depositStake, Stake, stakeLp, stakeForAccount, unstakeForAccount, stakeToken, unStake, stakeLP, stakeNft, unstakeNft, stakeIndex, requestReleaseStake, lockStake, depositAndBorrowApeAndStake"
Unique fee,"takeFees, swapExactTokensForTokensWithFeeAmount, swapExactETHForTokensWithFeeAmount, fee, recordFee, chargeFees, transferToFeeCollectionAddress, registerFee, _transferFeesSupportingTaxTokens, swapFee, collectFeeFromProtocol, setBuyFee, setLiquidityFeePercent, setSellFee, setTaxFeePercent, feed, convertFees, handleFees, processFee, withdraw_admin_fees, transferFromFee, handleDeductFee, reflowDistributeFee, distributeFee"
Unique collateral,"emitTroveCollateralUpdate, increaseCollateral, updateTotalCollateral, addERC20CollateralOption, enableAsCollateral, _setCollateralFactor, morphoSupplyCollateral, supplyCollateral, depositCollateralFrom"
Unique checkpoint,"user_checkpoint, checkpointInterest, checkpoint, checkpointGauge, hvCheckpoint"
Unique account,"openAccount, addAccount, openTrustedMarginAccount, addLiquidityForAccount, removeLiquidityForAccount, accountBalance, withdrawAccountBalance"
Unique remove,"removeUnderlying, removeAsset, removeBoostMultiplier"
Unique pool,"receiveUpPool, pool_mint, CreateMassPools, newPool, deployPool, handleDepeggedCurvePool, registerPool, registerPenpiePool, setPoolInfo, burnpoolXSD, siphonFundsFromPool, reindexPool"
Unique implement,"implementation, setImplementation"
Unique callback,"algebraFlashCallback, flashCallback, mintDepositCallback, pancakeV3MintCallback, algebraMintCallback, predyTradeAfterCallback, LBFlashLoanCallback"
Unique borrow,"totalBorrowsCurrent, afterBorrow, borrowBalanceStored, updateBorrowIndexesHistory, distributeBorrowerMnt, pledgeAndBorrow, updateBorrow, borrowWithinLimits, notifyBorrower, notifyBorrowIndex, updateCompBorrowIndex, distributeBorrowerComp, do_some_borrow, borrowRate, morphoBorrow, donateAndBorrow, borrowAtMaturity, handleBorrow, checkBorrow"
Unique deposit,"depositFromOtherContract, processDeposit, transferDeposit, emitDeposit, deposit_range, depositPLX, depositOnBehalf, depositMarket, depositAsset, depositToGasZipERC20, _deposit, depositAssetTo, depositNbl, initiateDeposit, submitAndDeposit, depositBeans, depositSelfApeCoin, depositBAYC, handleDeposit, depositSPORE, depositLinkAndBorrowWETH, handleMultipleDeposits"
Unique transfer,"flywheelPreTransferAction, transferToReserve, transferBBOX, beforeTransfer, beforeTransferHandler, afterTransferHandler, safeAutoTransferFrom, unsafeTransfer, transferTELFromCloneableProxy, transfer_all, transferNotify, transferIn, erc20TransferFrom, delegateTransfer, batchTransfer, transferUSDT, onAfterTransfer"
Unique pair,"destory_pair_amount, burnPairs, addPlayerPair, setPair, registerPair"
Unique repay,"beforeRepayBorrow, afterRepayBorrow, repayForAll, repayBorrowBehalf, swapAndRepay, liquidateWithSingleRepay, repayAtMaturity"
Unique interest,"updateInterest, payInterestForOracle, _setInterestRateModel, settleInterest"
Unique exchange,"exchangeRate, updateExchangeRates, doExchange"
Unique nft,"withdrawNFT, depositNft, withdrawNft, createFNFT, unlockFNFT, depositAdditionalToFNFT, pointFNFTToLock, withdrawFNFT"
Unique back,"loanFallback, transferBack, doBuyback"
Unique init,initWallet
Unique send,"sendto, multiSend, sendMiner, sendETHTo"
Unique operat,"isOperationDone, isOperationPending, hashOperation, performOperations"
Unique earn,claimEarned
Unique flash,"onBatchFlashLoan, batchFlashLoan, flashloanReq"
Unique Cluster 0,"riskEngine, harvestMarket, purchasePlp, createNewMarket, createMarket, _supportMarket, recoverLevOwnership, Invest, oracle, saleU, supplyERC721"
Unique Cluster 1,"allocate, calDeductionADC, calcStepIncome, safeDiv, safeMul, safeSub, protect, counter, decrease, pyIndexCurrent, ecMulG, ecMul, collat_XSD, remaining, dequeue, expect1, Do, cc, redemption_lp, go, Subscribe, subscribe, joker, thisAToB, donate, mu_bond, mu_gold_bond, credit, checkOracle, zapToBMI, randomTrade"
Unique Cluster 2,"updateTotalDebt, update_period, systemCalculations, editCounterPart, increaseCumulative, upgradeTo"
Unique Cluster 3,"ShortStart, openTrove, emitTroveDebtUpdate, reserveMultiSync, joinPledge, nextEpoch, lendTo, bindInvitor, placeOrder, lendRUSDY, seizeVerify, makePledge, donateToReserves, violator, evalCurve, onCurveBeta, onCurve, justDoIt, bindRelationshipExternal, cancelCampaign, lend, calcOutGivenIn, grantRole, contractWhitelist, tradeWithHint, goDead, rollToNextRound, queryJoin, offerBid, makeBid, reportSale, leverage, crossDeleverage"
Unique Cluster 4,"run2, exploitZS, startAuction, startwith, listItem, beforeLend, LCOpenTimeout, processRoute, trigger, exit2, exit1, exploit2, _Start, batch"
Unique Cluster 5,"abuse, closeOrder, plugin, issue, route, controller, modn, killMe, kill, edit, shoot, user_referrer, hack, Attack, askQuestion, questionIds, family, vote, take, father, difference"
Unique Cluster 6,"createTrove, createOrder, create, createVault, createYieldContract, createAgreement, createNode, createLockedCampaign, createAaveDebt, createContract, futureEpochTimeWrite, createLock"
Unique Cluster 7,"createProxy, createChannel, mostRecentBlock, Stack, accrualBlockTimestamp, distributionStartBlock, distributionEndBlock, emitSync"
Unique Cluster 8,"rekt, recover, dumpETH, playGame, reentrancyCheck, doIt, ack, recycle, yoink, pull, hope, commitEth"
Unique Cluster 9,"updatePoint, upgradeVillage, updateDistributionState, updateSupplyIndexesHistory, updateFor, managePosition, updateCompSupplyIndex, increaseProductivity, preProductivityChanged, postProductivityChanged, updatePosition, updatePositionBoostMultiplier, newProduct, Upgrade, upgradeSafe, updateExpiredOrders, updateAllocation, refresh"
Unique Cluster 10,"performAction, submitValue, doActionWithLeverage, vaultManagementAction, submitTransaction, confirmTransaction, evaluateProposalOutcome, submitVote, submitProposal, processRefunds, putCurEpochConPubKeyBytes, submitAnswer"
Unique Cluster 11,"drip, insert, insertTrove, exercise, zapIn, wrap, joinGame, invoke, envelope, pendle, sweep, bid, schedule, cook, exactOutput, cross, shift, clear, lift, plot, act, fill, enterStaking, within1"
Unique Cluster 12,"activate, afterSeize, beforeSeize, notifySupplyIndex, enableExploit, disableExploit, unlockSlot, markFromChainTxExist, enterWithUnderlying, queryExit"
Unique Cluster 13,"outputNumeraire, quoteExactInput, quoteExactOutputSingle"
Unique Cluster 14,"record, intakeNumeraireLPRatio, register, rate_write, create_loan, func_43kDPns, f_0xf986351d, f_0x4e515153, pledge, pledge_lp, pledgein, propose"
Unique Cluster 15,"distributeSupplierMnt, distributeAirdrop, notifySupplier, distributeSupplierComp, decreaseProductivity, distributeDividends, deploy, distributeRgt, distributeCAKEDividends, importRelation"
Common test,"testExploit, test, testExp, testAttack, testExpolit, testHack, testPoC, testExample, updateStateOnRedeem, test_exploit"
Common transfer,"transfer, transferFrom, transferUnderlyingTo, safeTransferFrom, finalizeTransfer, transferVerify, transferOwnership, safeCakeTransfer, transferToUser, _transfer"
Common approve,approve
Common swap,"swap, swapExactTokensForTokens, swapTokensForExactTokens, swapExactETHForTokens, swapExactTokensForETH, swapExactAmountIn, onSwap, autoSwapAndAddToMarketing, anySwapOutUnderlyingWithPermit, unoswapTo, swapAndLiquifyStepv1"
Common mint,"mint, mintVerify, mintToTreasury, mintExpansion, mintUBI, mint_relative"
Common withdraw,"withdraw, withdrawAll, withdrawTo, emergencyWithdraw, withdrawAndUnwrap, withdrawExactAmount"
Common deposit,"deposit, beforeDeposit, depositFor, depositVault, depositAll, depositApeCoin, depositExactAmount, depositAndBorrow"
Common flash,"flashLoan, flash, receiveFlashLoan, flashLoanSimple, onFlashLoan, flashloan, transferFlashloanAsset"
Common fee,"swapExactTokensForTokensSupportingFeeOnTransferTokens, swapExactTokensForETHSupportingFeeOnTransferTokens, swapExactETHForTokensSupportingFeeOnTransferTokens, removeLiquidityETHSupportingFeeOnTransferTokens, transferFee, updateUserWithdrawFee, processStakingFees"
Common back,fallback
Common burn,"burn, burnFrom, burnToHolder"
Common receive,"receive, onERC721Received, onERC1155Received"
Common call,"DPPFlashLoanCall, pancakeCall, uniswapV2Call, multicall, DVMFlashLoanCall, joeCall, callFunction, payNativeGasForContractCall, callContract, transferAndCall, upgradeToAndCall, DSPFlashLoanCall"
Common liquid,"addLiquidity, removeLiquidity, addLiquidityETH, add_liquidity, remove_liquidity_one_coin, liquidateBorrow, liquidate, liquidateBorrowAllowed, remove_liquidity, remove_liquidity_imbalance, removeLiquidityETH, decreaseLiquidity, requireLiquidity"
Common borrow,"borrow, borrowAllowed, borrowVerify, borrowBalanceCurrent, beforeBorrow, flywheelPreBorrowerAction, borrowExactAmount"
Common exec,"executeOperation, execute, exec, executeAction"
Common callback,"uniswapV3SwapCallback, pancakeV3FlashCallback, uniswapV3FlashCallback, pancakeV3SwapCallback, uniswapV3MintCallback, algebraSwapCallback, verifyCallback, callback"
Common redeem,"redeem, redeemAllowed, redeemVerify, redeemUnderlying, beforeRedeem"
Common repay,"handleRepayment, repayBorrowAllowed, repay, repayBorrow, repayBorrowVerify"
Common allow,"mintAllowed, transferAllowed, seizeAllowed, setAllowance, allowance, updateAllowance"
Common init,"initialize, init"
Common exchange,"exchange, exchange_underlying, exchangeRateCurrent, updateExchangeRate"
Common stake,"stake, unstake, stakeFor, stakeTo"
Common hand,"handleAction, handleActionBefore, handleActionAfter, handle"
Common accrue,"accrueInterest, withdrawAccruedInterest"
Common set,"setUp, setApprovalForAll, setShare, setMasterContractApproval, setAdmin"
Common sell,"sell, sellGem"
Common pair,createPair
Common claim,"claim, claimRewards, claimTokens, claimReward"
Common get,"getReward, getApp, getPool, get, getPair, getCompoundInterestRateAndUpdate, bridgeToWithAxelar"
Common balance,"balanceOf, setBalance, setBalanceOf, totalSupplyAndBalanceCurrent"
Common buy,"buy, buyTokens, buyToken"
Common token,"transferUnderlyingToken, onTokenTransfer, tokensReceived, tokensToSend, transferToken, removeLiquidityOneToken, burnToken, lockTokens, _BASE_TOKEN_, reflectionFromToken, tokenFromReflection, withdrawTokens"
Common add,"addCash, addLiability, autoAddLp, addHolder"
Common remove,"removeCash, remove, removeLiability"
Common pool,"exitPool, onExitPool, joinPool, onJoinPool, createPool, createAndInitializePoolIfNecessary, borrowOrTradeFromPool"
Common move,move
Common earn,"earn, convertDustToEarned"
Common checkpoint,checkpoint_gauge
Common implement,setInterfaceImplementer
Common reward,"receiveRewards, accumulateReward, stashRewards, notifyRewardAmount, redeemMarketReward, distributeRewards, processReward, addReward"
Common send,"setMessageSender, send"
Common price,"getPrice, fetchPrice, updatePrice"
Common reentrant,"_afterNonReentrant, _beforeNonReentrant"
Common collateral,"setUserUseReserveAsCollateral, addCollateral, registerCollateral, withdrawCollateral"
Common operat,operate
Common delegate,delegate
Common interest,"computeInterestRate, collectUBIInterest, mintInterest, collectInterest"
Common patch,dispatch
Common Cluster 0,"sync, lock, bond, hook, unlock"
Common Cluster 1,"process, deliver, harvest, write, suck, migrate, permit, work, run, submit, leave"
Common Cluster 2,"identity, attack, rebase, a, verify"
Common Cluster 3,"heal, start, trade"
Common Cluster 4,"exactInputSingle, exactInput, exactOutputSingle, quoteExactInputSingle"
Common Cluster 5,"update, enter, _emit, join, _prepare, convert, invest, invite, frob, flux, check"
Common Cluster 6,"enterMarkets, exit, exitMarket, preventBotPurchase"
Common Cluster 7,"future_epoch_time_write, requireToPassMessage, curveSecurityCheck, validation, is_trusted"
Common Cluster 8,"exploit, seize, collect, flywheelPreSupplierAction"
Common Cluster 9,"bind, bindParent"
Common Cluster 10,"supply, distribute, distributeETHDividends, onDistribution"
Common Cluster 11,"skim, unwrap, crossLmTick, leaveStaking, debond, slip, gulp"
